,ExplainedVariance
NMF_0,0.11164386422391448
NMF_1,0.09496012863846548
NMF_2,0.16475281764458238
NMF_3,0.09501360765855005
NMF_4,0.08825062557037455
NMF_5,0.12876615302642902
NMF_6,0.1298486835611231
NMF_7,0.10097491663440705
NMF_8,0.18371985039826544
NMF_9,0.11176342162634556
NMF_10,0.11918984012789613
NMF_11,0.16393959953700388
NMF_12,0.05213068774563545
ALL,0.877808719135309
